,param,power_conti,power_disc
0,10,0.06,0.064
1,20,0.112,0.14
2,30,0.17200000000000001,0.18
3,40,0.266,0.266
4,50,0.296,0.358
5,60,0.358,0.41200000000000003
6,70,0.418,0.47800000000000004
7,80,0.462,0.5740000000000001
8,90,0.532,0.622
9,100,0.5680000000000001,0.686
10,110,0.648,0.728
11,120,0.6880000000000001,0.766
12,130,0.74,0.81
13,140,0.772,0.8300000000000001
14,150,0.8180000000000001,0.858
15,160,0.85,0.87
16,170,0.872,0.922
17,180,0.896,0.93
18,190,0.906,0.9460000000000001
19,200,0.916,0.9540000000000001
