,n,power
0,1000.0,0.098
1,1475.0,0.10200000000000001
2,1950.0,0.14
3,2425.0,0.17400000000000002
4,2900.0,0.216
5,3375.0,0.234
6,3850.0,0.28600000000000003
7,4325.0,0.28
8,4800.0,0.358
9,5275.0,0.34400000000000003
10,5750.0,0.372
11,6225.0,0.466
12,6700.0,0.514
13,7175.0,0.5700000000000001
14,7650.0,0.594
15,8125.0,0.636
16,8600.0,0.674
17,9075.0,0.728
18,9550.0,0.736
19,10025.0,0.756
20,10500.0,0.794
21,10975.0,0.8160000000000001
22,11450.0,0.8300000000000001
23,11925.0,0.858
24,12400.0,0.88
25,12875.0,0.898
26,13350.0,0.9
27,13825.0,0.934
28,14300.0,0.9400000000000001
29,14775.0,0.9380000000000001
30,15250.0,0.9540000000000001
31,15725.0,0.964
32,16200.0,0.972
33,16675.0,0.976
34,17150.0,0.984
35,17625.0,0.982
36,18100.0,0.982
37,18575.0,0.988
38,19050.0,0.99
39,19525.0,0.992
40,20000.0,0.994
